Date,Open,High,Low,Close,Volume
2010-01-04,8222.42,8240.45,8143.45,8207.85,171654000
2010-01-05,8277.71,8283.64,8162.54,8211.4,197447000
2010-01-06,8237.1,8327.87,8216.92,8327.62,188532000
2010-01-07,8344.56,8369.55,8233.59,8237.42,203298000
2010-01-08,8266.87,8290.66,8178.93,8280.9,161863000
2010-01-11,8291.52,8357.9,8281.72,8323.82,155046000
2010-01-12,8343.73,8356.97,8262.58,8309.37,148635000
2010-01-13,8229.25,8257.83,8194.81,8196.56,142191000
2010-01-14,8245.86,8313.94,8237.67,8289.98,147832000
2010-01-15,8340.6,8380.23,8325.82,8356.89,172631000
2010-01-18,8290.38,8367.65,8290.38,8337.82,141415000
2010-01-19,8387.66,8395.39,8227.3,8249,159678000
2010-01-20,8309.19,8309.19,8191.44,8220.93,142395000
2010-01-21,8189.5,8208.21,8107.55,8127.87,130364000
2010-01-22,7986.43,8015.95,7912.85,7927.31,148807000
2010-01-25,7845.3,7938.14,7828.34,7872.99,109527000
2010-01-26,7903.03,7922.07,7572.58,7598.81,162746000
2010-01-27,7639.72,7656.95,7530.41,7560.03,120157000
2010-01-28,7630.16,7756.77,7607.56,7694.58,118849000
2010-01-29,7593.38,7649.73,7481.9,7640.44,118525000
2010-02-01,7653.89,7661.7,7493.81,7524.67,91876100
2010-02-02,7633.74,7635.73,7398.8,7429.61,111978000
2010-02-03,7523.79,7550.82,7441.92,7547.98,92532200
2010-02-04,7563.19,7578.18,7504.96,7542.04,80912200
2010-02-05,7323.16,7352.98,7196.39,7217.83,122954000
2010-02-08,7236.63,7253.24,7173.18,7215.88,84985700
2010-02-09,7225.71,7381.82,7197.13,7361.04,100783000
2010-02-10,7438.12,7496.34,7404.97,7441.84,107607000
2010-02-22,7619.87,7619.87,7553.29,7560.04,95403700
2010-02-23,7575.62,7597.44,7502.45,7597.44,92248300
2010-02-24,7516.47,7585.19,7515.38,7529.67,85276500
2010-02-25,7568.42,7568.42,7400.42,7426.96,101616000
2010-02-26,7451.17,7479.28,7383.68,7436.1,81870300
2010-03-01,7492.84,7620.56,7451.09,7577.75,104133000
2010-03-02,7649.62,7664.49,7592.66,7597.62,97702000
2010-03-03,7628.78,7670.25,7604.86,7629.52,85788900
2010-03-04,7664,7664,7524.19,7569.8,95286600
2010-03-05,7659.76,7694.89,7618,7666.26,92136300
2010-03-08,7741.8,7763.76,7716.28,7762.27,105349000
2010-03-09,7762.4,7770.59,7737.65,7770.59,88952400
2010-03-10,7797.7,7803.27,7736.7,7779.08,85891700
2010-03-11,7817.59,7818.84,7749.4,7749.66,93407500
2010-03-12,7773.52,7773.52,7726.09,7748.33,79054500
2010-03-15,7750.87,7766.36,7634.92,7634.92,75938800
2010-03-16,7671.41,7695.81,7645.17,7695.63,67630800
2010-03-17,7763.43,7849.38,7762.85,7847.84,118857000
2010-03-18,7861.27,7922.48,7847.55,7886.34,137212000
2010-03-19,7899.01,7899.01,7859.29,7897.91,115327000
2010-03-22,7861.9,7872.78,7791.25,7835.98,106102000
2010-03-23,7880.12,7889.04,7804.4,7811.87,121291000
2010-03-24,7875.27,7881.37,7822.71,7822.71,116602000
2010-03-25,7824.74,7856.31,7753.51,7838.1,107009000
2010-03-26,7808.15,7909.41,7770.42,7876.86,121405000
2010-03-29,7918.95,7961.14,7909.06,7947.45,121507000
2010-03-30,7992.12,7994.62,7942.47,7962.22,114821000
2010-03-31,7962.91,7974.89,7920.06,7920.06,114857000
2010-04-01,7952.62,8026.06,7952.62,8013.09,140406000
2010-04-02,8046.29,8050.99,8021.91,8025.93,109347000
2010-04-06,8083.03,8128.08,8082.37,8089.65,130170000
2010-04-07,8131.4,8133.45,8091.28,8121.78,131017000
2010-04-08,8106,8149.68,8038.37,8057.6,147593000
2010-04-09,8073.52,8094.35,8039.41,8092.03,108522000
2010-04-12,8149.76,8152.53,8092.94,8117.75,107375000
2010-04-13,8090.54,8104.14,8022.94,8029.73,104882000
2010-04-14,8077.94,8102.38,8040.01,8097.13,99403000
2010-04-15,8168.11,8190.01,8136.32,8171.94,143704000
2010-04-16,8161.85,8162.85,8090.68,8111.57,122810000
2010-04-19,8003.02,8042.05,7845.77,7854.22,139453000
2010-04-20,7908.11,7923.27,7842.07,7900.42,107308000
2010-04-21,7949.96,7998.76,7947.9,7990.53,118979000
2010-04-22,7948.89,7985.49,7897.14,7978.69,115042000
2010-04-23,8021.71,8030.11,7996.77,8004.89,125648000
2010-04-26,8107.22,8168.47,8093.14,8158.14,136921000
2010-04-27,8174.85,8174.85,8121.14,8146.44,118450000
2010-04-28,7944.7,8092.48,7944.7,8081.55,124497000
2010-04-29,8105.96,8107.36,8053.02,8054.05,134576000
2010-04-30,8116.39,8163.94,7999.28,8004.25,153392000
2010-05-03,7979.8,8022.45,7916.04,7952.17,93195100
2010-05-04,8006.79,8010.98,7889.93,7930.77,96173100
2010-05-05,7759.18,7785.55,7695.69,7696.9,136956000
2010-05-06,7696.27,7702.11,7562.03,7579.48,117102000
2010-05-07,7393.27,7572.79,7387.19,7567.1,136179000
2010-05-10,7610.88,7664.73,7577.31,7664.73,91251100
2010-05-11,7718.17,7743.41,7608.44,7608.44,110960000
2010-05-12,7663.34,7674.52,7596.21,7602.7,77072800
2010-05-13,7703.48,7787.32,7687.55,7770.57,98663300
2010-05-14,7735.6,7772.54,7725.82,7772.13,78727400
2010-05-17,7697.79,7697.79,7574.06,7598.72,87206700
2010-05-18,7630.1,7637.99,7560.89,7585.3,82514300
2010-05-19,7527.62,7588.09,7467.2,7559.16,98036200
2010-05-20,7557.17,7557.17,7424.43,7424.43,87290400
2010-05-21,7229.17,7277.93,7164.21,7237.71,110239000
2010-05-24,7296.15,7344.92,7269.81,7322.73,65819700
2010-05-25,7238.16,7241.84,7032.4,7086.37,103592000
2010-05-26,7161.4,7174.38,7079.85,7167.35,99661900
2010-05-27,7139.45,7254.68,7105.11,7243.16,85322100
2010-05-28,7338.77,7364.01,7271.3,7295.32,102332000
2010-05-31,7312.26,7373.98,7292.54,7373.98,68414600
2010-06-01,7327.01,7348.56,7276.52,7289.33,70198800
2010-06-02,7252.79,7304.13,7159.75,7195.71,80395700
2010-06-03,7322.51,7361.7,7309.46,7360.28,79836000
2010-06-04,7377.56,7377.56,7337.35,7344.59,68736100
2010-06-07,7139.76,7172.3,7085.55,7157.83,83913000
2010-06-08,7142.31,7179.14,7128.92,7151.99,85933300
2010-06-09,7166.19,7193.04,7048.6,7071.67,91907500
2010-06-10,7134.16,7182.99,7085.34,7181.77,65967100
2010-06-11,7302.97,7321.6,7273.7,7299.49,88392500
2010-06-14,7372.93,7393.41,7347.23,7387.4,68867200
2010-06-15,7388.57,7489.68,7364.34,7454.06,81765300
2010-06-17,7503.12,7534.06,7481.72,7515.78,93468000
2010-06-18,7538.55,7538.55,7459.93,7493.11,67441100
2010-06-21,7595.93,7645.71,7562.25,7635.56,109041000
2010-06-22,7630.64,7639.66,7610.62,7612.68,77157100
2010-06-23,7576.29,7615.44,7549.98,7582.15,77833400
2010-06-24,7601.72,7607.63,7567.96,7589.89,75451500
2010-06-25,7509.72,7537.37,7463.29,7474.71,88873200
2010-06-28,7507.15,7536.61,7489.55,7500.79,74798800
2010-06-29,7554.78,7584.81,7423.57,7423.57,86004600
2010-06-30,7277.39,7337.32,7255.09,7329.37,89640100
2010-07-01,7326.89,7327.4,7251.6,7254.06,85538100
2010-07-02,7285.01,7378.77,7285.01,7330.74,99688900
2010-07-05,7351.18,7447.18,7351.18,7439.96,91268200
2010-07-06,7385.33,7548.48,7382.37,7548.48,115595000
2010-07-07,7560.22,7565.37,7517.68,7534.46,104388000
2010-07-08,7612.71,7622.46,7583.36,7608.85,121621000
2010-07-09,7644.11,7652.55,7599.84,7647.25,103044000
2010-07-12,7674.26,7705.11,7636.81,7639.55,106996000
2010-07-13,7664.71,7671.48,7587.87,7597.42,91077100
2010-07-14,7688.82,7720.63,7683.83,7714.51,119478000
2010-07-15,7699.49,7732.31,7681.87,7704.52,105756000
2010-07-16,7717.24,7719.05,7660.76,7664.57,122148000
2010-07-19,7602.68,7666.58,7596.26,7649.83,81471200
2010-07-20,7678.89,7730.88,7638.49,7712.03,92692700
2010-07-21,7742.48,7752.8,7678.3,7701.29,102787000
2010-07-22,7699.36,7718.92,7665.78,7666.34,88436400
2010-07-23,7747.03,7782.02,7739.04,7761.22,124861000
2010-07-26,7787.07,7807.07,7765.68,7787.45,103102000
2010-07-27,7806.25,7806.25,7748.01,7748.01,99614800
2010-07-28,7736.59,7786.23,7726.4,7784.81,110112000
2010-07-29,7778.74,7799.57,7738.48,7798.99,120867000
2010-07-30,7765.25,7781.24,7731.19,7760.63,104478000
2010-08-02,7829.19,7917.95,7829.19,7911.68,142742000
2010-08-03,7961.68,7970.58,7915.83,7957.53,153075000
2010-08-04,7960.3,7978.16,7938.92,7972.66,126781000
2010-08-05,8010.07,8018.74,7921.98,7936.85,157307000
2010-08-06,7938.09,7963.3,7922.29,7963.3,117865000
2010-08-09,7974.67,8040.94,7971.19,8034.49,125537000
2010-08-10,8054.29,8054.29,7975.38,7976.74,137129000
2010-08-11,7923.57,7956.9,7869.52,7895.03,127777000
2010-08-12,7789.46,7837.38,7776.66,7829.79,117470000
2010-08-13,7845.98,7906.35,7830.46,7891.58,133794000
2010-08-16,7884.28,7941.22,7850.13,7941.22,122056000
2010-08-17,7962.7,7973.15,7931.09,7931.09,133285000
2010-08-18,7978.52,7984.57,7897.18,7924.1,135710000
2010-08-19,7925.48,7948.73,7886.73,7928.94,125953000
2010-08-20,7915.16,7941.61,7905.01,7927.31,103064000
2010-08-23,7938.21,8013.12,7924.1,7975.93,124158000
2010-08-24,7983.62,7990.49,7940.64,7940.64,133305000
2010-08-25,7889.57,7889.57,7736.98,7736.98,160289000
2010-08-26,7743.32,7758.14,7666.51,7689.74,121129000
2010-08-27,7702.59,7722.91,7662.23,7722.91,93208200
2010-08-30,7797.26,7806.91,7737.28,7741.2,88507300
2010-08-31,7669.31,7687.47,7577.1,7616.28,117121000
2010-09-01,7643.61,7679.43,7625.72,7668.25,109060000
2010-09-02,7764.8,7780.53,7715.31,7720.82,116822000
2010-09-03,7770.93,7830.21,7770.93,7830.21,132715000
2010-09-06,7879.7,7902.56,7841.83,7890.95,128587000
2010-09-07,7914.38,7922.07,7876.67,7884.4,127156000
2010-09-08,7866.35,7898.76,7824.65,7851.31,113693000
2010-09-09,7901.83,7903.47,7817.87,7835.54,119352000
2010-09-10,7900.56,7911.66,7859.33,7890.11,120983000
2010-09-13,7961.98,8091.3,7946.98,8091.3,147233000
